timeindex,wind-profile-LA,pv-profile-LA,wind-profile-KH,pv-profile-KH,wind-profile-MM,pv-profile-MM,wind-profile-TH,pv-profile-TH,wind-profile-VN,pv-profile-VN
2050-01-01T00:00:00Z,0.003,0.159,0.032,0.226,0.057,0.086,0.272,0.14,0.258,0.23
2050-01-01T01:00:00Z,0,0.473,0.11,0.448,0.025,0.341,0.272,0.372,0.36,0.454
2050-01-01T02:00:00Z,0,0.646,0.115,0.604,0.014,0.534,0.404,0.552,0.32,0.62
2050-01-01T03:00:00Z,0,0.749,0.081,0.702,0.03,0.659,0.337,0.666,0.296,0.717
2050-01-01T04:00:00Z,0,0.796,0.065,0.744,0.022,0.732,0.262,0.723,0.282,0.747
2050-01-01T05:00:00Z,0,0.794,0.059,0.738,0.014,0.756,0.217,0.731,0.269,0.735
2050-01-01T06:00:00Z,0.001,0.749,0.055,0.684,0.008,0.724,0.179,0.685,0.274,0.673
2050-01-01T07:00:00Z,0.001,0.647,0.059,0.584,0.005,0.655,0.155,0.599,0.298,0.56
2050-01-01T08:00:00Z,0.001,0.489,0.071,0.43,0.004,0.534,0.144,0.46,0.341,0.388
2050-01-01T09:00:00Z,0,0.264,0.078,0.22,0.005,0.349,0.132,0.265,0.343,0.16
2050-01-01T10:00:00Z,0.001,0.019,0.082,0.02,0.017,0.113,0.14,0.06,0.291,0.002
2050-01-01T11:00:00Z,0.001,0,0.131,0,0.087,0,0.179,0,0.273,0
2050-01-01T12:00:00Z,0,0,0.154,0,0.181,0,0.206,0,0.201,0
2050-01-01T13:00:00Z,0,0,0.167,0,0.192,0,0.211,0,0.147,0
2050-01-01T14:00:00Z,0,0,0.205,0,0.143,0,0.201,0,0.113,0
2050-01-01T15:00:00Z,0.002,0,0.241,0,0.106,0,0.197,0,0.098,0
2050-01-01T16:00:00Z,0.009,0,0.233,0,0.075,0,0.204,0,0.085,0
2050-01-01T17:00:00Z,0.014,0,0.183,0,0.04,0,0.211,0,0.072,0
2050-01-01T18:00:00Z,0.019,0,0.135,0,0.011,0,0.213,0,0.069,0
2050-01-01T19:00:00Z,0.02,0,0.112,0,0.001,0,0.217,0,0.078,0
2050-01-01T20:00:00Z,0.017,0,0.103,0,0,0,0.223,0,0.088,0
2050-01-01T21:00:00Z,0.012,0,0.087,0,0.001,0,0.246,0,0.078,0
2050-01-01T22:00:00Z,0.009,0,0.072,0,0.003,0,0.279,0,0.063,0
2050-01-01T23:00:00Z,0.008,0.001,0.062,0.016,0.014,0,0.306,0,0.049,0.038
2050-01-02T00:00:00Z,0.009,0.234,0.009,0.223,0.041,0.078,0.251,0.175,0.066,0.237
2050-01-02T01:00:00Z,0.001,0.476,0.007,0.437,0.017,0.329,0.075,0.412,0.061,0.476
2050-01-02T02:00:00Z,0.011,0.638,0.005,0.588,0.001,0.526,0.041,0.583,0.032,0.652
2050-01-02T03:00:00Z,0.031,0.741,0.002,0.691,0,0.652,0.026,0.689,0.02,0.729
2050-01-02T04:00:00Z,0.046,0.788,0.001,0.73,0,0.725,0.006,0.744,0.02,0.757
2050-01-02T05:00:00Z,0.049,0.786,0.001,0.723,0,0.749,0.001,0.752,0.027,0.74
2050-01-02T06:00:00Z,0.045,0.74,0.001,0.668,0,0.726,0,0.711,0.044,0.677
2050-01-02T07:00:00Z,0.037,0.642,0.002,0.566,0,0.658,0,0.625,0.077,0.569
2050-01-02T08:00:00Z,0.028,0.488,0.002,0.412,0,0.539,0,0.486,0.131,0.406
2050-01-02T09:00:00Z,0.015,0.267,0.002,0.204,0,0.361,0,0.286,0.18,0.184
2050-01-02T10:00:00Z,0.007,0.02,0.002,0.018,0.008,0.122,0,0.071,0.279,0.003
2050-01-02T11:00:00Z,0.004,0,0.008,0,0.093,0,0,0,0.221,0
2050-01-02T12:00:00Z,0.002,0,0.019,0,0.203,0,0,0,0.175,0
2050-01-02T13:00:00Z,0.003,0,0.035,0,0.225,0,0.001,0,0.105,0
2050-01-02T14:00:00Z,0.006,0,0.059,0,0.183,0,0.001,0,0.059,0
2050-01-02T15:00:00Z,0.015,0,0.094,0,0.132,0,0,0,0.05,0
2050-01-02T16:00:00Z,0.024,0,0.119,0,0.076,0,0,0,0.042,0
2050-01-02T17:00:00Z,0.028,0,0.127,0,0.035,0,0,0,0.036,0
2050-01-02T18:00:00Z,0.027,0,0.113,0,0.01,0,0,0,0.034,0
2050-01-02T19:00:00Z,0.022,0,0.095,0,0.001,0,0,0,0.035,0
2050-01-02T20:00:00Z,0.014,0,0.092,0,0,0,0.002,0,0.033,0
2050-01-02T21:00:00Z,0.005,0,0.089,0,0.001,0,0.008,0,0.023,0
2050-01-02T22:00:00Z,0.001,0,0.088,0,0.011,0,0.014,0,0.013,0
